road_name,geometry
용마산로28길,"LINESTRING (14147351.188522331 4518523.027915208, 14147331.649217594 4518527.146849713, 14147259.914937725 4518551.569824383)"
용마산로8가길,"LINESTRING (14147427.380389387 4517754.343135112, 14147436.400858428 4517694.440387797)"
용마산로8가길,"LINESTRING (14147445.796223454 4517632.089078344, 14147454.422700264 4517627.884182576)"
용마산로8가길,"LINESTRING (14147454.422700264 4517627.884182576, 14147481.19796322 4517614.832830052)"
용마산로8가길,"LINESTRING (14147445.796223454 4517632.089078344, 14147446.435151009 4517627.849055646)"
용마산로8가길,"LINESTRING (14147446.435151009 4517627.849055646, 14147452.419733156 4517588.134437099)"
용마산로8가길,"LINESTRING (14147445.796223454 4517632.089078344, 14147443.235875163 4517649.081177645, 14147436.400858428 4517694.440387797)"
용마산로8가길,"LINESTRING (14147406.689686337 4517891.692044998, 14147353.983263915 4517883.11002794)"
용마산로8가길,"LINESTRING (14147406.689686337 4517891.692044998, 14147408.324094389 4517880.838714556)"
용마산로8가길,"LINESTRING (14147406.689686337 4517891.692044998, 14147400.667301884 4517931.67366503, 14147395.123591242 4517968.523737452)"
용마산로8가길,"LINESTRING (14147408.324094389 4517880.838714556, 14147406.689686337 4517891.692044998)"
용마산로8가길,"LINESTRING (14147452.419733156 4517588.134437099, 14147453.121045945 4517583.472166495)"
용마산로8가길,"LINESTRING (14147446.435151009 4517627.849055646, 14147445.796223454 4517632.089078344)"
용마산로8가길,"LINESTRING (14147452.419733156 4517588.134437099, 14147446.435151009 4517627.849055646)"
용마산로8가길,"LINESTRING (14147458.75381218 4517546.019604223, 14147462.193584446 4517523.227953092)"
용마산로8가길,"LINESTRING (14147458.75381218 4517546.019604223, 14147453.121045945 4517583.472166495)"
용마산로8가길,"LINESTRING (14147454.422700264 4517627.884182576, 14147445.796223454 4517632.089078344)"
용마산로8가길,"LINESTRING (14147481.19796322 4517614.832830052, 14147454.422700264 4517627.884182576)"
용마산로8가길,"LINESTRING (14147462.193584446 4517523.227953092, 14147481.627874717 4517516.107651161)"
용마산로8가길,"LINESTRING (14147465.29018661 4517501.355604525, 14147467.692767292 4517484.385364461)"
용마산로8가길,"LINESTRING (14147462.193584446 4517523.227953092, 14147465.29018661 4517501.355604525)"
용마산로8가길,"LINESTRING (14147462.193584446 4517523.227953092, 14147458.75381218 4517546.019604223)"
용마산로8가길,"LINESTRING (14147481.627874717 4517516.107651161, 14147462.193584446 4517523.227953092)"
용마산로8가길,"LINESTRING (14147467.692767292 4517484.385364461, 14147480.539036531 4517401.434592359)"
용마산로8가길,"LINESTRING (14147467.692767292 4517484.385364461, 14147465.29018661 4517501.355604525)"
용마산로8가길,"LINESTRING (14147465.29018661 4517501.355604525, 14147462.193584446 4517523.227953092)"
긴고랑로39길,"LINESTRING (14147906.336088814 4517373.405328259, 14147900.747120371 4517376.684533222)"
긴고랑로39길,"LINESTRING (14147900.747120371 4517376.684533222, 14147860.253382709 4517400.443347901)"
긴고랑로41길,"LINESTRING (14147906.336088814 4517373.405328259, 14147893.723590506 4517339.365882041)"
긴고랑로39길,"LINESTRING (14147986.525444413 4517346.701151742, 14148047.24430026 4517334.436912002)"
긴고랑로39길,"LINESTRING (14147906.336088814 4517373.405328259, 14147946.52242499 4517354.489830242, 14147975.28738141 4517348.971061096, 14147986.525444413 4517346.701151742)"
긴고랑로39길,"LINESTRING (14148047.24430026 4517334.436912002, 14147986.525444413 4517346.701151742)"
긴고랑로39길,"LINESTRING (14147986.525444413 4517346.701151742, 14147975.28738141 4517348.971061096, 14147946.52242499 4517354.489830242, 14147906.336088814 4517373.405328259)"
긴고랑로41길,"LINESTRING (14147893.723590506 4517339.365882041, 14147883.270690322 4517280.625629467)"
긴고랑로41길,"LINESTRING (14147893.723590506 4517339.365882041, 14147906.336088814 4517373.405328259)"
"용마산로8길, 긴고랑로39길","LINESTRING (14147861.329618685 4517347.805519892, 14147867.251815595 4517364.993755134, 14147860.39199592 4517368.345545305)"
천호대로137길,"LINESTRING (14147988.75718339 4516111.401381905, 14147991.81335733 4516118.587713073)"
자양로44길,"LINESTRING (14147991.937112596 4516089.84081237, 14148050.906711508 4516057.715266632)"
자양로44길,"LINESTRING (14148151.172176862 4516010.144693188, 14148225.22190214 4516024.466389715)"
자양로44길,"LINESTRING (14148151.172176862 4516010.144693188, 14148140.418714054 4516008.951219362, 14148118.25745042 4516021.0241579255)"
자양로44길,"LINESTRING (14148118.25745042 4516021.0241579255, 14148050.906711508 4516057.715266632)"
자양로44길,"LINESTRING (14148225.22190214 4516024.466389715, 14148151.172176862 4516010.144693188)"
자양로44길,"LINESTRING (14148244.23966146 4516030.806599809, 14148275.382464692 4516041.189101346, 14148331.50975195 4516081.795494711)"
자양로44길,"LINESTRING (14148225.22190214 4516024.466389715, 14148244.23966146 4516030.806599809)"
자양로44길,"LINESTRING (14148331.50975195 4516081.795494711, 14148305.657400547 4516112.772333091)"
자양로44길,"LINESTRING (14148331.50975195 4516081.795494711, 14148350.623308519 4516104.48571951, 14148352.783965888 4516112.975512111)"
자양로44길,"LINESTRING (14148331.50975195 4516081.795494711, 14148275.382464692 4516041.189101346, 14148244.23966146 4516030.806599809)"
자양로44길,"LINESTRING (14148244.23966146 4516030.806599809, 14148225.22190214 4516024.466389715)"
자양로44길,"LINESTRING (14148352.783965888 4516112.975512111, 14148350.623308519 4516104.48571951, 14148331.50975195 4516081.795494711)"
자양로44길,"LINESTRING (14148304.721303146 4516239.328111026, 14148253.574976444 4516301.524870112)"
자양로50길,"LINESTRING (14148115.817106588 4516384.3265095875, 14148116.696419949 4516384.634796739)"
자양로50길,"LINESTRING (14148116.696419949 4516384.634796739, 14148196.557133261 4516412.633952584)"
자양로50길,"LINESTRING (14148115.817106588 4516384.3265095875, 14148059.028681822 4516364.827180044)"
자양로50길,"LINESTRING (14148059.028681822 4516364.827180044, 14148053.823282165 4516363.0398122175, 14147998.631078629 4516346.723784576, 14147990.838149909 4516345.107954073)"
자양로50길,"LINESTRING (14147990.838149909 4516345.107954073, 14147988.879491236 4516344.7018345585)"
자양로44길,"LINESTRING (14148221.28140439 4516365.52941407, 14148196.557133261 4516412.633952584)"
