road_name,geometry
자양로,"LINESTRING (14148060.179625088 4516640.8935926985, 14148067.860669954 4516674.76226566)"
자양로,"LINESTRING (14148060.179625088 4516640.8935926985, 14148044.913991695 4516617.893119309)"
자양로,"LINESTRING (14148044.913991695 4516617.893119309, 14148019.536879001 4516579.657849915)"
자양로54길,"LINESTRING (14148060.179625088 4516640.8935926985, 14148083.441320471 4516618.060177525)"
자양로54길,"LINESTRING (14148083.441320471 4516618.060177525, 14148109.060013497 4516592.913160317)"
긴고랑로,"LINESTRING (14148241.83479697 4517631.314594699, 14148239.83815128 4517600.50631585, 14148237.560938437 4517590.593582945)"
긴고랑로,"LINESTRING (14148237.560938437 4517590.593582945, 14148229.68581372 4517556.313077233, 14148215.80427322 4517532.875429673, 14148201.922732718 4517520.208730079, 14148181.654747164 4517504.47793087)"
긴고랑로,"LINESTRING (14148271.931560477 4517747.734200208, 14148254.84401864 4517701.349609822, 14148243.879048796 4517662.857437088, 14148241.83479697 4517631.314594699)"
긴고랑로,"LINESTRING (14148181.654747164 4517504.47793087, 14148135.375941122 4517468.559087157)"
긴고랑로45길,"LINESTRING (14148212.075070279 4517605.168594045, 14148194.308479548 4517601.994874326, 14148129.353556668 4517547.227296303, 14148132.64242934 4517504.265953451)"
긴고랑로45길,"LINESTRING (14148132.64242934 4517504.265953451, 14148135.375941122 4517468.559087157)"
"영화사로, 워커힐로","LINESTRING (14148622.570203569 4515970.053545286, 14148613.771452803 4515968.064292373, 14148594.84713937 4515955.427568407, 14148569.243656486 4515930.15416625, 14148562.56448704 4515917.517488058, 14148547.247478833 4515860.696011584)"
"영화사로, 워커힐로","LINESTRING (14148729.790803002 4515988.034093447, 14148722.463803615 4515986.247160855, 14148658.610943697 4515978.201764187, 14148622.570203569 4515970.053545286)"
"영화사로, 워커힐로","LINESTRING (14148748.498277675 4515992.596533601, 14148729.790803002 4515988.034093447)"
"영화사로, 워커힐로","LINESTRING (14148792.150169121 4516114.858491908, 14148790.26850546 4516048.111272753, 14148777.834118335 4516011.253921925, 14148760.00073591 4515995.401790764, 14148748.498277675 4515992.596533601)"
"영화사로, 워커힐로","LINESTRING (14148747.493511138 4516229.957199745, 14148800.476502763 4516154.345414777, 14148792.617346711 4516131.430425359, 14148792.150169121 4516114.858491908)"
"영화사로, 워커힐로","LINESTRING (14148519.682046697 4516493.376995586, 14148591.863777015 4516453.817487296, 14148620.589185208 4516436.705536901)"
"영화사로, 워커힐로","LINESTRING (14148411.225639308 4516536.22716768, 14148447.649376694 4516520.992069673, 14148494.260739671 4516507.019510719)"
"영화사로, 워커힐로","LINESTRING (14148664.36608457 4516367.433940291, 14148665.824446699 4516338.270912791, 14148674.874721302 4516310.49723928, 14148704.686080934 4516286.304155032, 14148712.400521649 4516280.055805159, 14148739.621806089 4516241.194318429)"
"영화사로, 워커힐로","LINESTRING (14148620.589185208 4516436.705536901, 14148659.111881403 4516413.757265394, 14148662.629577314 4516402.159066439, 14148664.36608457 4516367.433940291)"
"영화사로, 워커힐로","LINESTRING (14148739.621806089 4516241.194318429, 14148746.263910744 4516231.711956842, 14148747.493511138 4516229.957199745)"
"영화사로, 워커힐로","LINESTRING (14148494.260739671 4516507.019510719, 14148495.42770214 4516506.669693617, 14148519.682046697 4516493.376995586)"
자양로50길,"LINESTRING (14148411.225639308 4516536.22716768, 14148414.999370044 4516540.776639036, 14148417.71556562 4516544.048327993)"
