gid,max,mean
다사628508,1.8180347681045532,0.8154405212402344
다사636494,5.342085361480713,1.748070526123047
다사622510,2.62986421585083,1.8904225158691406
다사622494,26.597728729248047,9.555341186523437
다사630485,7.431801795959473,0.7821499633789063
다사626479,0.9273280501365662,0.27385732650756833
다사631522,1.7214254140853882,1.2945761108398437
다사635513,6.449880599975586,2.425204315185547
다사632483,1.4568997621536255,1.141974639892578
다사627503,6.434519290924072,2.5095309448242187
다사633482,4.704290390014648,2.096875
다사633494,2.3548293113708496,1.2700247955322266
다사625513,0.4218478500843048,0.34382537841796873
다사614491,13.559469223022461,2.9645559692382815
다사644492,2.2704989910125732,1.7135334777832032
다사630524,1.6905666589736938,1.355296630859375
다사631489,10.346586227416992,3.338454284667969
다사618489,2.277277708053589,0.647676010131836
다사645490,4.520623683929443,0.09945816040039063
다사651495,6.273456573486328,2.2283692932128907
다사629484,0.398794561624527,0.28799102783203123
다사631509,8.663604736328125,4.00133544921875
다사641504,9.950051307678223,3.7605657958984375
다사626517,1.9858291149139404,0.9806516265869141
다사615483,1.6417598724365234,0.8345444488525391
다사627478,10.052895545959473,2.1720489501953124
다사627506,4.932116985321045,2.9657333374023436
다사638514,37.67677688598633,17.991669921875
다사628506,4.296515464782715,2.48159912109375
다사642512,14.823500633239746,8.104835205078125
다사647489,9.17253589630127,1.1452610778808594
다사640506,8.229145050048828,2.2943486022949218
다사633495,2.470123052597046,0.8260765075683594
다사623510,3.2267398834228516,1.951605987548828
다사642513,37.21653747558594,10.94378173828125
다사615489,0.6039947271347046,0.48896308898925783
다사626505,7.056268215179443,3.4959286499023436
다사637501,3.7061526775360107,1.9030335998535157
다사634477,3.544738531112671,1.6466122436523438
다사638485,8.050814628601074,2.102941589355469
다사638498,5.278721809387207,3.4253448486328124
다사640498,17.349096298217773,8.02713623046875
다사636502,4.493457794189453,1.6040660095214845
다사619483,4.0038275718688965,1.9459150695800782
다사634493,1.1249122619628906,0.4238132858276367
다사626487,4.349310398101807,2.3800872802734374
다사634516,6.976967811584473,4.192108154296875
다사629480,0.5411595106124878,0.4692837905883789
다사625480,0.3234252333641052,0.25790063858032225
다사631520,3.6119582653045654,2.5127694702148435
다사629487,11.742345809936523,7.254335327148437
다사631524,2.8181769847869873,1.5844013977050782
다사624481,0.32217034697532654,0.16983074188232422
다사638512,15.836689949035645,8.006497192382813
다사636510,4.465871810913086,0.5510734558105469
다사621498,14.267498970031738,5.518345947265625
다사623486,0.8726407885551453,0.2464084243774414
다사620480,17.829486846923828,3.7698992919921874
다사620482,0.8368315696716309,0.572192268371582
다사647501,32.332977294921875,15.2495751953125
다사643502,29.345382690429688,8.887005004882813
다사635495,1.1903574466705322,0.7748815155029297
다사621496,3.2374343872070312,2.623009033203125
다사618486,7.916272163391113,7.301749267578125
다사635522,13.631754875183105,8.1276025390625
다사639489,4.819840908050537,1.4661750793457031
다사633489,0.5396700501441956,0.43857517242431643
다사624508,5.62271785736084,2.6275064086914064
다사624482,0.2888405919075012,0.27250423431396487
다사627484,1.101662516593933,1.0929718780517579
다사635482,4.4406023025512695,1.5914675903320312
다사621487,2.783846139907837,0.7410581970214843
다사655501,20.787248611450195,11.9703857421875
다사638480,5.62768030166626,2.173494415283203
다사634513,2.8776421546936035,2.436141357421875
다사630510,5.99587345123291,2.589764404296875
다사639490,3.7617428302764893,2.0086904907226564
다사655502,35.88499450683594,8.789779052734374
다사631494,5.820074558258057,3.1422052001953125
다사624499,21.265869140625,5.2852880859375
다사638486,9.11589527130127,3.108243103027344
다사649497,4.130899429321289,1.5361306762695313
다사625479,0.6080796718597412,0.28477800369262696
다사628477,4.238266944885254,1.720412139892578
다사642501,21.091703414916992,9.530722045898438
다사629479,1.0174758434295654,0.7042679595947265
다사632485,8.278550148010254,2.8599276733398438
다사634495,1.1684428453445435,0.8008289337158203
다사626516,0.1785334050655365,0.0684358835220337
다사621504,12.149195671081543,4.406842041015625
다사648495,15.742684364318848,2.299721374511719
다사628510,1.512604832649231,0.558692741394043
다사635512,3.68914794921875,2.0080937194824218
다사635507,3.0625383853912354,1.1854763793945313
다사636523,31.449161529541016,16.171959228515625
다사622486,2.5232293605804443,0.6153498458862304
다사628479,0.7791220545768738,0.700810546875
다사625496,5.786511421203613,2.65262451171875
다사647498,19.810842514038086,6.688223876953125
다사630522,1.7986972332000732,1.3865567016601563
다사619500,1.0097976922988892,0.37743080139160157
다사630481,0.8089490532875061,0.49676712036132814
다사633505,4.79831600189209,2.9132781982421876
다사628524,9.039395332336426,3.473663635253906
다사641493,19.823978424072266,2.997903137207031
다사626497,9.021294593811035,2.699185791015625
다사627521,13.193745613098145,3.4023651123046874
다사624507,10.048800468444824,2.56020751953125
다사642510,33.25859832763672,11.67471435546875
다사643506,15.746562957763672,6.896182861328125
다사648497,11.457531929016113,2.8320819091796876
다사629519,1.2056633234024048,1.0697640991210937
다사642509,30.405132293701172,11.64171142578125
다사629523,0.8231509327888489,0.726424560546875
다사623497,6.887154579162598,2.472423858642578
다사629478,0.8480433821678162,0.6650359344482422
다사640489,1.6227567195892334,0.8476533508300781
다사620495,2.639533281326294,1.0297386169433593
다사632523,2.7487215995788574,2.0274822998046873
다사630521,1.5190856456756592,1.0355161285400392
다사632517,10.624475479125977,1.214507064819336
다사639484,2.4908998012542725,1.0923373413085937
다사614490,2.0918192863464355,0.8396887969970703
다사651493,7.67094087600708,1.111859588623047
다사616493,8.71456527709961,0.48768112182617185
다사636517,34.915287017822266,14.478388671875
다사641491,0.8045393228530884,0.20804126739501952
