gid_500,gid_100,gid,grid_x,grid_y,geometry
8,107,다사640521,1928,3904,"POLYGON ((964000 1952100, 964000 1952200, 964100 1952200, 964100 1952100, 964000 1952100))"
8,108,다사641521,1928,3904,"POLYGON ((964100 1952100, 964100 1952200, 964200 1952200, 964200 1952100, 964100 1952100))"
8,109,다사642521,1928,3904,"POLYGON ((964200 1952100, 964200 1952200, 964300 1952200, 964300 1952100, 964200 1952100))"
8,110,다사643521,1928,3904,"POLYGON ((964300 1952100, 964300 1952200, 964400 1952200, 964400 1952100, 964300 1952100))"
8,111,다사644521,1928,3904,"POLYGON ((964400 1952100, 964400 1952200, 964500 1952200, 964500 1952100, 964400 1952100))"
8,132,다사640520,1928,3904,"POLYGON ((964000 1952000, 964000 1952100, 964100 1952100, 964100 1952000, 964000 1952000))"
8,133,다사641520,1928,3904,"POLYGON ((964100 1952000, 964100 1952100, 964200 1952100, 964200 1952000, 964100 1952000))"
8,134,다사642520,1928,3904,"POLYGON ((964200 1952000, 964200 1952100, 964300 1952100, 964300 1952000, 964200 1952000))"
8,135,다사643520,1928,3904,"POLYGON ((964300 1952000, 964300 1952100, 964400 1952100, 964400 1952000, 964300 1952000))"
8,136,다사644520,1928,3904,"POLYGON ((964400 1952000, 964400 1952100, 964500 1952100, 964500 1952000, 964400 1952000))"
9,38,다사645524,1929,3904,"POLYGON ((964500 1952400, 964500 1952500, 964600 1952500, 964600 1952400, 964500 1952400))"
9,39,다사646524,1929,3904,"POLYGON ((964600 1952400, 964600 1952500, 964700 1952500, 964700 1952400, 964600 1952400))"
9,40,다사647524,1929,3904,"POLYGON ((964700 1952400, 964700 1952500, 964800 1952500, 964800 1952400, 964700 1952400))"
9,41,다사648524,1929,3904,"POLYGON ((964800 1952400, 964800 1952500, 964900 1952500, 964900 1952400, 964800 1952400))"
9,42,다사649524,1929,3904,"POLYGON ((964900 1952400, 964900 1952500, 965000 1952500, 965000 1952400, 964900 1952400))"
9,63,다사645523,1929,3904,"POLYGON ((964500 1952300, 964500 1952400, 964600 1952400, 964600 1952300, 964500 1952300))"
9,64,다사646523,1929,3904,"POLYGON ((964600 1952300, 964600 1952400, 964700 1952400, 964700 1952300, 964600 1952300))"
9,65,다사647523,1929,3904,"POLYGON ((964700 1952300, 964700 1952400, 964800 1952400, 964800 1952300, 964700 1952300))"
9,66,다사648523,1929,3904,"POLYGON ((964800 1952300, 964800 1952400, 964900 1952400, 964900 1952300, 964800 1952300))"
9,67,다사649523,1929,3904,"POLYGON ((964900 1952300, 964900 1952400, 965000 1952400, 965000 1952300, 964900 1952300))"
9,88,다사645522,1929,3904,"POLYGON ((964500 1952200, 964500 1952300, 964600 1952300, 964600 1952200, 964500 1952200))"
9,89,다사646522,1929,3904,"POLYGON ((964600 1952200, 964600 1952300, 964700 1952300, 964700 1952200, 964600 1952200))"
9,90,다사647522,1929,3904,"POLYGON ((964700 1952200, 964700 1952300, 964800 1952300, 964800 1952200, 964700 1952200))"
9,91,다사648522,1929,3904,"POLYGON ((964800 1952200, 964800 1952300, 964900 1952300, 964900 1952200, 964800 1952200))"
9,92,다사649522,1929,3904,"POLYGON ((964900 1952200, 964900 1952300, 965000 1952300, 965000 1952200, 964900 1952200))"
9,112,다사645521,1929,3904,"POLYGON ((964500 1952100, 964500 1952200, 964600 1952200, 964600 1952100, 964500 1952100))"
9,113,다사646521,1929,3904,"POLYGON ((964600 1952100, 964600 1952200, 964700 1952200, 964700 1952100, 964600 1952100))"
9,114,다사647521,1929,3904,"POLYGON ((964700 1952100, 964700 1952200, 964800 1952200, 964800 1952100, 964700 1952100))"
9,115,다사648521,1929,3904,"POLYGON ((964800 1952100, 964800 1952200, 964900 1952200, 964900 1952100, 964800 1952100))"
9,116,다사649521,1929,3904,"POLYGON ((964900 1952100, 964900 1952200, 965000 1952200, 965000 1952100, 964900 1952100))"
9,137,다사645520,1929,3904,"POLYGON ((964500 1952000, 964500 1952100, 964600 1952100, 964600 1952000, 964500 1952000))"
9,138,다사646520,1929,3904,"POLYGON ((964600 1952000, 964600 1952100, 964700 1952100, 964700 1952000, 964600 1952000))"
9,139,다사647520,1929,3904,"POLYGON ((964700 1952000, 964700 1952100, 964800 1952100, 964800 1952000, 964700 1952000))"
9,140,다사648520,1929,3904,"POLYGON ((964800 1952000, 964800 1952100, 964900 1952100, 964900 1952000, 964800 1952000))"
9,141,다사649520,1929,3904,"POLYGON ((964900 1952000, 964900 1952100, 965000 1952100, 965000 1952000, 964900 1952000))"
12,143,다사625519,1925,3903,"POLYGON ((962500 1951900, 962500 1952000, 962600 1952000, 962600 1951900, 962500 1951900))"
12,144,다사626519,1925,3903,"POLYGON ((962600 1951900, 962600 1952000, 962700 1952000, 962700 1951900, 962600 1951900))"
12,145,다사627519,1925,3903,"POLYGON ((962700 1951900, 962700 1952000, 962800 1952000, 962800 1951900, 962700 1951900))"
12,146,다사628519,1925,3903,"POLYGON ((962800 1951900, 962800 1952000, 962900 1952000, 962900 1951900, 962800 1951900))"
12,147,다사629519,1925,3903,"POLYGON ((962900 1951900, 962900 1952000, 963000 1952000, 963000 1951900, 962900 1951900))"
12,169,다사625518,1925,3903,"POLYGON ((962500 1951800, 962500 1951900, 962600 1951900, 962600 1951800, 962500 1951800))"
12,170,다사626518,1925,3903,"POLYGON ((962600 1951800, 962600 1951900, 962700 1951900, 962700 1951800, 962600 1951800))"
12,171,다사627518,1925,3903,"POLYGON ((962700 1951800, 962700 1951900, 962800 1951900, 962800 1951800, 962700 1951800))"
12,172,다사628518,1925,3903,"POLYGON ((962800 1951800, 962800 1951900, 962900 1951900, 962900 1951800, 962800 1951800))"
12,173,다사629518,1925,3903,"POLYGON ((962900 1951800, 962900 1951900, 963000 1951900, 963000 1951800, 962900 1951800))"
12,195,다사625517,1925,3903,"POLYGON ((962500 1951700, 962500 1951800, 962600 1951800, 962600 1951700, 962500 1951700))"
12,196,다사626517,1925,3903,"POLYGON ((962600 1951700, 962600 1951800, 962700 1951800, 962700 1951700, 962600 1951700))"
12,197,다사627517,1925,3903,"POLYGON ((962700 1951700, 962700 1951800, 962800 1951800, 962800 1951700, 962700 1951700))"
12,198,다사628517,1925,3903,"POLYGON ((962800 1951700, 962800 1951800, 962900 1951800, 962900 1951700, 962800 1951700))"
12,199,다사629517,1925,3903,"POLYGON ((962900 1951700, 962900 1951800, 963000 1951800, 963000 1951700, 962900 1951700))"
12,221,다사625516,1925,3903,"POLYGON ((962500 1951600, 962500 1951700, 962600 1951700, 962600 1951600, 962500 1951600))"
12,222,다사626516,1925,3903,"POLYGON ((962600 1951600, 962600 1951700, 962700 1951700, 962700 1951600, 962600 1951600))"
12,223,다사627516,1925,3903,"POLYGON ((962700 1951600, 962700 1951700, 962800 1951700, 962800 1951600, 962700 1951600))"
12,224,다사628516,1925,3903,"POLYGON ((962800 1951600, 962800 1951700, 962900 1951700, 962900 1951600, 962800 1951600))"
12,225,다사629516,1925,3903,"POLYGON ((962900 1951600, 962900 1951700, 963000 1951700, 963000 1951600, 962900 1951600))"
12,247,다사625515,1925,3903,"POLYGON ((962500 1951500, 962500 1951600, 962600 1951600, 962600 1951500, 962500 1951500))"
12,248,다사626515,1925,3903,"POLYGON ((962600 1951500, 962600 1951600, 962700 1951600, 962700 1951500, 962600 1951500))"
12,249,다사627515,1925,3903,"POLYGON ((962700 1951500, 962700 1951600, 962800 1951600, 962800 1951500, 962700 1951500))"
